g1_t,g2_t,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.5,0.5,1,1,0.9001167500290799,1,165,0.5098333386144893,0.9689902932198908
0.5,0.5,2,1,0.9002029431463915,1,163,0.5096642150786217,0.9691215422171752
0.5,0.5,3,1,0.9004840867134932,1,184,0.5112621306189669,0.9691703142595871
0.5,0.5,4,1,0.9002460174817969,1,224,0.5110791912347977,0.9689225162312681
0.5,0.5,5,1,0.9011307536851785,1,203,0.5134889943429299,0.9695381229808705
0.5,0.5,6,1,0.9000705613291329,1,215,0.5123833285453699,0.9684859553497975
0.5,0.5,7,1,0.8995546802476345,1,175,0.5086526042070589,0.9685373995489132
0.5,0.5,8,1,0.8990999484849017,1,164,0.5093067867193546,0.9678869770317633
0.5,0.5,9,1,0.900034233,1,178,0.5106433381730879,0.9687502732829497
0.5,0.5,10,1,0.90055693,1,179,0.5114848888048269,0.9692167023101185
0.5,0.5,11,1,0.900204995,1,207,0.5110208761995393,0.9688845457009299
0.5,0.5,12,1,0.9000797898847153,1,189,0.5107306718765549,0.9687884577685089
0.5,0.5,13,1,0.900637058,1,174,0.5118895673456425,0.9692395568828194
0.5,0.5,14,1,0.8992557218356855,1,183,0.5095557605231424,0.9680263032437819
0.5,0.5,15,1,0.9000421711872189,1,221,0.5097019204053299,0.9689257448546119
0.5,0.5,16,1,0.9004399616861185,1,169,0.5116164418273933,0.9690558769553059
0.5,0.5,17,1,0.9011571271304023,1,183,0.5141454973610322,0.9694532970897042
0.5,0.5,18,1,0.8998634125354875,1,174,0.5091281416868279,0.9688166956264287
0.5,0.5,19,1,0.8993329189008384,1,176,0.5103725477934032,0.9679729843903869
0.5,0.5,20,1,0.9003292531575212,1,200,0.5116082288997661,0.9689270809677143
0.5,0.5,21,1,0.9008884448517197,1,186,0.512995046,0.9693402211622931
0.5,0.5,22,1,0.9005632935170458,1,167,0.5127397694210645,0.9690027389457492
0.5,0.5,23,1,0.8998588071669478,1,201,0.5110397282248471,0.9684739387449666
0.5,0.5,24,1,0.8996446085077204,1,157,0.5090386643090857,0.9685750692486568
0.5,0.5,25,1,0.9003519594041607,1,200,0.5122135262374873,0.968846977
0.5,0.5,26,1,0.8999764159823462,1,185,0.5105840891883059,0.9686927089460009
0.5,0.5,27,1,0.9002737007328367,1,215,0.5115019235774363,0.968880485
0.5,0.5,28,1,0.9001458004989248,1,174,0.5099391350004203,0.9690058002927796
0.5,0.5,29,1,0.9001141023917275,1,212,0.5111621003750323,0.9687526909829097
0.5,0.5,30,1,0.8999114491962492,1,186,0.5105506154406712,0.9686221845648818
0.5,0.5,31,1,0.8996830911709557,1,163,0.5101898693740788,0.9684171891351112
0.5,0.5,32,1,0.9000029779650497,1,197,0.5098282376296706,0.9688573439065876
0.5,0.5,33,1,0.8995683451381006,1,170,0.5094282542243961,0.9684165964758132
0.5,0.5,34,1,0.899515442,1,192,0.509408457,0.9683578506869425
0.5,0.5,35,1,0.8999929084328044,1,184,0.5121379577537042,0.9684379
0.5,0.5,36,1,0.9001828790024039,1,169,0.5104539664703999,0.9689585694492291
0.5,0.5,37,1,0.8998186047826616,1,204,0.5102866912987375,0.9685595306915907
0.5,0.5,38,1,0.9000447643134245,1,166,0.5109035815382185,0.9687167377443442
0.5,0.5,39,1,0.9010385445419318,1,172,0.5126831440522356,0.9695718505107027
0.5,0.5,40,1,0.8998609014462245,1,190,0.5099299315991178,0.9686722490663036
0.5,0.5,41,1,0.8994124237520594,1,196,0.5082892942047272,0.9684341524957066
0.5,0.5,42,1,0.8991460883711103,1,166,0.5087086018834663,0.9680468212806953
0.5,0.5,43,1,0.9011809432693947,1,213,0.5153304059120764,0.9692722145677456
0.5,0.5,44,1,0.8995668824246686,1,174,0.509446717,0.9684116175516304
0.5,0.5,45,1,0.8993068948212208,1,163,0.5096459106992237,0.9680705979015742
0.5,0.5,46,1,0.899160321,1,158,0.5087081797614853,0.9680636400547421
0.5,0.5,47,1,0.8997508300549041,1,176,0.5103774121682254,0.968463786
0.5,0.5,48,1,0.9004495489640962,1,168,0.5110509165160646,0.9691669546902204
0.5,0.5,49,1,0.9001355940716486,1,179,0.5103321152800837,0.9689244432701613
0.5,0.5,50,1,0.900350998,1,179,0.5105222685219298,0.9691443030417682
0.5,0.5,51,1,0.9008539876940085,1,169,0.5133400117171135,0.9692388069840496
0.5,0.5,52,1,0.9012128513924315,1,169,0.5125053277357616,0.9698082967436097
0.5,0.5,53,1,0.8995808445783995,1,197,0.510713517,0.9682044906903787
0.5,0.5,54,1,0.9013901561190544,1,208,0.514275985,0.9697044216727801
0.5,0.5,55,1,0.9008896021394871,1,196,0.5142204295520783,0.9691253384784426
0.5,0.5,56,1,0.9000476179501756,1,196,0.5112135983184494,0.9686653861204816
0.5,0.5,57,1,0.899655669,1,167,0.5097968305869778,0.9684542870171561
0.5,0.5,58,1,0.8991767801611125,1,163,0.5092247122969749,0.9679918509606669
0.5,0.5,59,1,0.901447237,1,175,0.5136135996873723,0.9698884668351951
0.5,0.5,60,1,0.8999818952904592,1,172,0.5102993724627936,0.968749399
0.5,0.5,61,1,0.89963451,1,184,0.5099444047644203,0.9684033520991359
0.5,0.5,62,1,0.9001013948581771,1,189,0.5107336455849533,0.9688133506122765
0.5,0.5,63,1,0.8995873659482012,1,221,0.5117182735430726,0.9680348528432241
0.5,0.5,64,1,0.9001171962593513,1,197,0.5102691700106035,0.9689139067738376
0.5,0.5,65,1,0.8991397290798185,1,181,0.5083352304980887,0.9681052288295361
0.5,0.5,66,1,0.9006191511639184,1,218,0.5119106144457861,0.9692147752906488
0.5,0.5,67,1,0.9007518399282475,1,203,0.5141638450152076,0.9689732507952554
0.5,0.5,68,1,0.8995614120732481,1,159,0.5088129125004809,0.9685170296449142
0.5,0.5,69,1,0.9007930392656212,1,196,0.5120672946443459,0.9693917000811411
0.5,0.5,70,1,0.9000910486200273,1,190,0.5123221874331311,0.9685208476530098
0.5,0.5,71,1,0.9006751794080837,1,197,0.5126698263072149,0.969146712
0.5,0.5,72,1,0.9005055149056646,1,179,0.5123204317325324,0.969008765
0.5,0.5,73,1,0.8995695276714178,1,151,0.5096221429316447,0.9683837720372612
0.5,0.5,74,1,0.9003879860576386,1,162,0.511856442,0.968952376
0.5,0.5,75,1,0.9012709330925731,1,162,0.5133331165095268,0.9697305477836997
0.5,0.5,76,1,0.9009366762950951,1,197,0.5130243242994706,0.9693917972355003
0.5,0.5,77,1,0.8994062222063846,1,194,0.5102978322035114,0.9680724086774809
0.5,0.5,78,1,0.9000245074316089,1,201,0.5118933048019212,0.9685182490721435
0.5,0.5,79,1,0.9001121088187601,1,186,0.5098515077126518,0.9689816266610157
0.5,0.5,80,1,0.8992904945468652,1,194,0.5087045518130179,0.9682174256175451
0.5,0.5,81,1,0.8999143133438265,1,210,0.5115042434942315,0.9684572668466974
0.5,0.5,82,1,0.8993620832684955,1,190,0.5092708606378292,0.9682017107915551
0.5,0.5,83,1,0.9006374109625974,1,210,0.5136616409491382,0.9689272527296794
0.5,0.5,84,1,0.9001766628341796,1,187,0.5115694427497861,0.9687544075549551
0.5,0.5,85,1,0.9000117015420387,1,175,0.5111222827169326,0.9686392460405882
0.5,0.5,86,1,0.8997694104233758,1,173,0.5111394720438495,0.9683511642550581
0.5,0.5,87,1,0.8995779019668444,1,155,0.5096337183493314,0.968391581
0.5,0.5,88,1,0.9000967174224369,1,184,0.5109909522683739,0.9687624406849191
0.5,0.5,89,1,0.8998817617456344,1,223,0.5097845545105482,0.9687224453753565
0.5,0.5,90,1,0.9001619617472558,1,206,0.5106134835537453,0.9689058108402292
0.5,0.5,91,1,0.8994846292439682,1,181,0.5098573998217245,0.9682423756126008
0.5,0.5,92,1,0.8997069496079112,1,184,0.5098476905533647,0.9685056423822437
0.5,0.5,93,1,0.9004483400607356,1,252,0.5132541915291725,0.9687767192133654
0.5,0.5,94,1,0.8997519053613654,1,157,0.5096722077569946,0.9685894990562551
0.5,0.5,95,1,0.90080166,1,158,0.5115153210845975,0.969499249
0.5,0.5,96,1,0.9004381660400747,1,165,0.5109924765347804,0.9691638759527749
0.5,0.5,97,1,0.9003925419876019,1,167,0.5123471061042435,0.9688711483199596
0.5,0.5,98,1,0.9006596680186317,1,176,0.5128938942921075,0.9690889222056658
0.5,0.5,99,1,0.8988836597310911,1,209,0.5086431156618677,0.9677496380962488
0.5,0.5,100,1,0.9007897661249095,1,195,0.512924276,0.9692366172387112
0.5,0.9,1,1,0.9006343196978454,1,171,0.5124976038585487,0.969129034
0.5,0.9,2,1,0.9002959389582089,1,111,0.5109621625150524,0.9690018995070022
0.5,0.9,3,1,0.9000752666895766,1,119,0.5114287089100086,0.9686599533565601
0.5,0.9,4,1,0.9014318208252999,1,163,0.5161129495037939,0.969429269
0.5,0.9,5,1,0.9002822295246289,1,164,0.510914481,0.9689941851802816
0.5,0.9,6,1,0.8993128004014587,1,144,0.5085702790405798,0.9682673629945555
0.5,0.9,7,1,0.8999548195266294,1,126,0.5099285737914565,0.9687829805387198
0.5,0.9,8,1,0.9004709278685669,1,123,0.5106193387576423,0.9692682671234369
0.5,0.9,9,1,0.900593938,1,117,0.5108558454178261,0.9693712483034043
0.5,0.9,10,1,0.900644296,1,141,0.5118676050584801,0.9692519473577812
0.5,0.9,11,1,0.8997868406817613,1,141,0.5096720952466671,0.968630619
0.5,0.9,12,1,0.8992527036923572,1,129,0.5092157204686495,0.9680827595553649
0.5,0.9,13,1,0.8998916632655418,1,115,0.5105259502941751,0.9686032596722539
0.5,0.9,14,1,0.9004184428244818,1,145,0.5108775241230419,0.9691609578894431
0.5,0.9,15,1,0.8998183188945588,1,127,0.5090642387346863,0.9687749212757131
0.5,0.9,16,1,0.9005595689638588,1,124,0.5120836637647076,0.9691141404695923
0.5,0.9,17,1,0.9006652992205303,1,144,0.5105258108955656,0.9695134442190545
0.5,0.9,18,1,0.8997224828921901,1,110,0.5103274365279441,0.9684392557799992
0.5,0.9,19,1,0.8998624033550047,1,122,0.5099990055109639,0.9686618265039533
0.5,0.9,20,1,0.9004691736195626,1,150,0.510538423,0.9692804825145107
0.5,0.9,21,1,0.8997449388785425,1,131,0.5111231112359196,0.968325261
0.5,0.9,22,1,0.9002276098418958,1,125,0.5102637789512733,0.9690447564696535
0.5,0.9,23,1,0.899181111,1,121,0.5091043940418295,0.9680181792550643
0.5,0.9,24,1,0.9003814337744457,1,141,0.5121550053910866,0.9688919799597452
0.5,0.9,25,1,0.8997777834046651,1,127,0.51064733,0.9684478633590108
0.5,0.9,26,1,0.8998704694946325,1,140,0.5103617320258191,0.9686073055185417
0.5,0.9,27,1,0.9000159137714332,1,140,0.5097144638325517,0.9688926402312362
0.5,0.9,28,1,0.8998637840993015,1,117,0.5090830889249295,0.968825083
0.5,0.9,29,1,0.8995811462126733,1,120,0.5102620664060438,0.9682845132373727
0.5,0.9,30,1,0.9005495238640596,1,155,0.5106167433348737,0.9693611910162698
0.5,0.9,31,1,0.9008462180920632,1,148,0.5116800184594722,0.9695226062625212
0.5,0.9,32,1,0.9013772139094044,1,172,0.5138385237023222,0.9697663945341847
0.5,0.9,33,1,0.9008394187004614,1,132,0.5127353828856134,0.9693283661971995
0.5,0.9,34,1,0.8997936492405764,1,117,0.5097661627624512,0.9686220292073056
0.5,0.9,35,1,0.899997257,1,155,0.5093283379439497,0.9689388306411635
0.5,0.9,36,1,0.8997191128366396,1,117,0.5099605089758923,0.9685000429297135
0.5,0.9,37,1,0.8993361373917709,1,123,0.508940771,0.9682294372575981
0.5,0.9,38,1,0.8999158011636715,1,137,0.5105972450399204,0.9686190757737461
0.5,0.9,39,1,0.9004281527495608,1,139,0.5117005427174167,0.969027143
0.5,0.9,40,1,0.8998176377785493,1,120,0.5113459598818122,0.9683714632897394
0.5,0.9,41,1,0.9001432920411616,1,174,0.5118090524570543,0.9686728637324754
0.5,0.9,42,1,0.9008930688484978,1,141,0.5124679994353543,0.969438669
0.5,0.9,43,1,0.8996134103659664,1,130,0.5102568907540337,0.9683233844151313
0.5,0.9,44,1,0.9011429919701092,1,123,0.5113996038866695,0.9699212369260106
0.5,0.9,45,1,0.9010033765529124,1,143,0.512143641,0.9696256828841453
0.5,0.9,46,1,0.8989556548629102,1,116,0.5070730199039073,0.9681114139733231
0.5,0.9,47,1,0.9000669488359105,1,162,0.5098647417405462,0.9689261618527404
0.5,0.9,48,1,0.9004211749765807,1,129,0.5115400649656859,0.9690472532137983
0.5,0.9,49,1,0.8999497576212977,1,136,0.509789836,0.9688015085453489
0.5,0.9,50,1,0.899559678,1,129,0.5090028268555282,0.9684814748571486
0.5,0.9,51,1,0.9002756218568806,1,148,0.5113432761384683,0.9689107416895427
0.5,0.9,52,1,0.9008369424369154,1,134,0.512489049,0.9693689237060206
0.5,0.9,53,1,0.9008474573618644,1,128,0.5123534665178152,0.96940522
0.5,0.9,54,1,0.9004928508811686,1,124,0.5117321427610506,0.969097682
0.5,0.9,55,1,0.9005256282461493,1,145,0.5110840343899075,0.9692506153972522
0.5,0.9,56,1,0.9006191116871872,1,131,0.512771815,0.969062752
0.5,0.9,57,1,0.9004239948399057,1,137,0.511482651,0.9690607025258947
0.5,0.9,58,1,0.9008354401282657,1,126,0.5135892555645025,0.9691730021101064
0.5,0.9,59,1,0.8998332467112198,1,149,0.5105212886730025,0.9685353569532593
0.5,0.9,60,1,0.9005676333698966,1,136,0.5110956606731819,0.969297981
0.5,0.9,61,1,0.9003926596953984,1,128,0.5110317011891405,0.9691034170788567
0.5,0.9,62,1,0.9002945549909329,1,133,0.5106667058536078,0.969052411
0.5,0.9,63,1,0.8997441360208891,1,134,0.5104352302299245,0.9684457076310601
0.5,0.9,64,1,0.9005636427986449,1,136,0.5115075105725038,0.9692206073091413
0.5,0.9,65,1,0.9002882222426506,1,123,0.5112023969654244,0.9689504267033386
0.5,0.9,66,1,0.9005467134363736,1,134,0.5119433569790172,0.9691237763406139
0.5,0.9,67,1,0.8997144082942623,1,143,0.5108183118423286,0.9683431311975448
0.5,0.9,68,1,0.8999794198485279,1,139,0.5114520254004703,0.9685430776923034
0.5,0.9,69,1,0.8999999785849535,1,133,0.5099044522193349,0.9688403655906517
0.5,0.9,70,1,0.9007882589001196,1,131,0.5126640746584108,0.9692807620015989
0.5,0.9,71,1,0.900105977,1,156,0.5091286821431751,0.9691019700725088
0.5,0.9,72,1,0.9000197877983408,1,144,0.5115758051211065,0.9685687259178533
0.5,0.9,73,1,0.8995957865915162,1,144,0.5108098568553365,0.9682050683096662
0.5,0.9,74,1,0.899214566,1,116,0.5080381618557074,0.9682456961368748
0.5,0.9,75,1,0.8992807241893908,1,143,0.5084033887612168,0.9682590775002463
0.5,0.9,76,1,0.8999517945835585,1,128,0.5104732595227022,0.9686833007707696
0.5,0.9,77,1,0.9006543953301903,1,125,0.5118869284482179,0.9692604188975985
0.5,0.9,78,1,0.8999732754782569,1,125,0.5094901953413684,0.9688820543259442
0.5,0.9,79,1,0.9009063179982232,1,157,0.5137285185224204,0.9692318120233663
0.5,0.9,80,1,0.9004388659806295,1,144,0.5119515370789712,0.9689954534338645
0.5,0.9,81,1,0.9003586975421933,1,139,0.511825147,0.9689234416881813
0.5,0.9,82,1,0.90052125,1,174,0.5118656041131192,0.9691075399046649
0.5,0.9,83,1,0.8997882940891635,1,180,0.5102276283718324,0.9685342939216345
0.5,0.9,84,1,0.9007088520060167,1,145,0.5124955818920018,0.9692170761437846
0.5,0.9,85,1,0.9003219536599159,1,127,0.5096344848760449,0.9692668010923634
0.5,0.9,86,1,0.9000799933046252,1,140,0.5099952558845128,0.9689184763787635
0.5,0.9,87,1,0.8998304300028371,1,139,0.5109205227688162,0.9684615901029586
0.5,0.9,88,1,0.9008405548925821,1,120,0.5125899676447693,0.9693553644069032
0.5,0.9,89,1,0.9002710162367209,1,143,0.5117392473371851,0.9688354460425224
0.5,0.9,90,1,0.8996134950343909,1,158,0.5109930302035115,0.9681935770633714
0.5,0.9,91,1,0.9001294485012019,1,187,0.5117959653682558,0.9686588867011341
0.5,0.9,92,1,0.8995830818846511,1,127,0.5094471254531897,0.9684306036078505
0.5,0.9,93,1,0.9004584750026282,1,138,0.5115648443186456,0.9690867627703902
0.5,0.9,94,1,0.9001145920072154,1,122,0.5114164555841973,0.9687083807877493
0.5,0.9,95,1,0.9010846674935408,1,105,0.5128100647878635,0.9696037150298382
0.5,0.9,96,1,0.9000785273553791,1,163,0.5095917751816696,0.9689879542095644
0.5,0.9,97,1,0.8996491943339034,1,139,0.5102457325380662,0.9683674522978758
0.5,0.9,98,1,0.9004196832727503,1,132,0.5117903341291296,0.9690013331216252
0.5,0.9,99,1,0.901315837,1,139,0.5126463141572806,0.9699045758004692
0.5,0.9,100,1,0.9012854766755686,1,124,0.513323003,0.9697494425862213
0.9,0.5,1,1,0.9812630818278048,1,290,0.906587272,0.9944411660012579
0.9,0.5,2,1,0.9812784184271472,1,274,0.9066786913154053,0.9944430761527494
0.9,0.5,3,1,0.9812925027381513,1,296,0.9068443946792206,0.9944304041603158
0.9,0.5,4,1,0.9811756603737956,1,275,0.9060707620770779,0.9944294659555699
0.9,0.5,5,1,0.9813073461997012,1,292,0.9067624250258252,0.9944623322892082
0.9,0.5,6,1,0.9813069444826685,1,284,0.906942568,0.9944300697405378
0.9,0.5,7,1,0.9812924647751554,1,300,0.9068044302232028,0.9944374120490296
0.9,0.5,8,1,0.9812672350210132,1,297,0.9065818762669031,0.9944470042129152
0.9,0.5,9,1,0.9813197077334188,1,293,0.9067990043488089,0.9944704200954086
0.9,0.5,10,1,0.9812348121885833,1,259,0.9063753543650821,0.9944453047456723
0.9,0.5,11,1,0.9812354,1,275,0.9066378382954463,0.9943996759409583
0.9,0.5,12,1,0.9812912022938542,1,276,0.906848871,0.994428084
0.9,0.5,13,1,0.981170812,1,282,0.9061290543737947,0.9944134747292922
0.9,0.5,14,1,0.9813046754887366,1,270,0.9068780614242768,0.9944387838530531
0.9,0.5,15,1,0.9813240510256418,1,295,0.9069589572018397,0.9944473028769003
0.9,0.5,16,1,0.9812805233921716,1,285,0.9067452985563275,0.9944337983632029
0.9,0.5,17,1,0.9813010403155561,1,305,0.9069470016443726,0.9944223412575288
0.9,0.5,18,1,0.981280336,1,310,0.9066299624334704,0.9944539316525145
0.9,0.5,19,1,0.9812121691849217,1,255,0.9061364295264575,0.9944608291246502
0.9,0.5,20,1,0.9811967189240832,1,298,0.9062191898075866,0.9944280475917003
0.9,0.5,21,1,0.981251388,1,323,0.9067113665672144,0.99440551
0.9,0.5,22,1,0.9812614535327447,1,305,0.9065181428352566,0.9944514495381837
0.9,0.5,23,1,0.9813171572526271,1,294,0.9069560999654049,0.9944396967739016
0.9,0.5,24,1,0.9813582700589584,1,310,0.9071591003052972,0.9944522411919581
0.9,0.5,25,1,0.9813225761273121,1,291,0.906983907,0.9944411647884718
0.9,0.5,26,1,0.9812444111874176,1,289,0.9064624241458609,0.9944412324300452
0.9,0.5,27,1,0.9813327584670362,1,333,0.9068535254855842,0.9944761525225865
0.9,0.5,28,1,0.9812810207013339,1,265,0.9067159370218011,0.9944395648800747
0.9,0.5,29,1,0.9812693812714546,1,275,0.9065179063442405,0.9944608180233164
0.9,0.5,30,1,0.9813237411432142,1,297,0.9069680104571156,0.9944453406760553
0.9,0.5,31,1,0.9813204870137903,1,315,0.9070147897917963,0.9944332571117893
0.9,0.5,32,1,0.9812584220436187,1,295,0.9066509061890021,0.9944244542532572
0.9,0.5,33,1,0.981267114,1,309,0.9067739348627571,0.994412969
0.9,0.5,34,1,0.9812956709800685,1,308,0.9069196897132705,0.9944208441447976
0.9,0.5,35,1,0.9811672675985676,1,266,0.9061337135469039,0.994408483
0.9,0.5,36,1,0.9811826095100717,1,274,0.9062062798037783,0.994413727
0.9,0.5,37,1,0.9812745247187192,1,285,0.9066579376082501,0.9944421577382139
0.9,0.5,38,1,0.9812101118220216,1,283,0.9063247690820733,0.9944251723055423
0.9,0.5,39,1,0.9812016038384899,1,264,0.9063181193490467,0.9944163363954507
0.9,0.5,40,1,0.9812244487078443,1,276,0.9063433237305526,0.9944387648803075
0.9,0.5,41,1,0.9812511842601314,1,321,0.9064445200729565,0.9944523602931611
0.9,0.5,42,1,0.9812636862595268,1,311,0.9066550254117732,0.9944299205267776
0.9,0.5,43,1,0.9812253740948611,1,339,0.9064718713214999,0.9944171687019246
0.9,0.5,44,1,0.9812762049750549,1,291,0.9066821481396219,0.9944398620636609
0.9,0.5,45,1,0.9813352545839615,1,292,0.9069730806231145,0.9944579911652868
0.9,0.5,46,1,0.9813086903826069,1,324,0.9068120180189857,0.9944551619761872
0.9,0.5,47,1,0.9813043533759036,1,288,0.9068431459583565,0.9944445664495883
0.9,0.5,48,1,0.9812710738906657,1,301,0.9066498458629145,0.9944395258955628
0.9,0.5,49,1,0.9813464450290272,1,308,0.9071085344272615,0.9944472527822799
0.9,0.5,50,1,0.9812409059536753,1,258,0.9064490035679457,0.994439477
0.9,0.5,51,1,0.9812599760925291,1,266,0.9066707351571455,0.9944227833164204
0.9,0.5,52,1,0.9812823760456446,1,260,0.9067865924390676,0.9944286907997457
0.9,0.5,53,1,0.9812561039722522,1,261,0.9066258372960037,0.9944261510327665
0.9,0.5,54,1,0.981244728,1,263,0.9063655075460662,0.9944587080541764
0.9,0.5,55,1,0.9813063246834112,1,295,0.9068853171665643,0.9944394436569723
0.9,0.5,56,1,0.9813335150462822,1,344,0.9069769632006542,0.9944552594896284
0.9,0.5,57,1,0.9812553541225443,1,312,0.9065390973185398,0.9944405759114867
0.9,0.5,58,1,0.9812589262688385,1,304,0.9065971793854364,0.9944345286600274
0.9,0.5,59,1,0.9812660639680697,1,268,0.9066800573277741,0.9944283
0.9,0.5,60,1,0.98126452,1,270,0.9065767675243804,0.9944447119065699
0.9,0.5,61,1,0.9813033556340842,1,307,0.906782157,0.9944541553723141
0.9,0.5,62,1,0.9812615418857498,1,297,0.9065337134997575,0.9944488057185715
0.9,0.5,63,1,0.9812439275470038,1,285,0.9067021615238487,0.9943983568452075
0.9,0.5,64,1,0.98132901,1,284,0.9070815226898733,0.9944315082188937
0.9,0.5,65,1,0.9812330309711652,1,263,0.906444853,0.9944309448182018
0.9,0.5,66,1,0.9812973780552376,1,269,0.9069560433136489,0.9944164371272822
0.9,0.5,67,1,0.9813123299715055,1,346,0.9069473529174542,0.9944355612163382
0.9,0.5,68,1,0.9813386701278501,1,328,0.9071317983233693,0.9944340004462882
0.9,0.5,69,1,0.9812513115878548,1,279,0.9065645224965654,0.994431333
0.9,0.5,70,1,0.9812823662779937,1,301,0.9067597392764143,0.9944334181018015
0.9,0.5,71,1,0.981162919,1,320,0.9062159472993049,0.9943888551538811
0.9,0.5,72,1,0.9812478160082061,1,261,0.906576323,0.9944251383832144
0.9,0.5,73,1,0.9812541336985287,1,283,0.9065631876284567,0.9944348888873649
0.9,0.5,74,1,0.9812801550547421,1,316,0.9068369601625178,0.9944171894474872
